open_time;close;status;close_shift_1;diff_shift_1;close_shift_2;diff_shift_2;close_shift_3;diff_shift_3;close_shift_4;diff_shift_4;close_shift_5;diff_shift_5;close_shift_6;diff_shift_6
2022-12-16 07:00:00;17503.35;CAI_2.0;17221.25;-1.61;17038.97;-2.65;16994.06;-2.91;17027.09;-2.72;17035.14;-2.67;16946.22;-3.18
2022-12-19 22:00:00;16416.82;SOBE_2.0;16438.88;0.13;16462.01;0.28;16580.23;1.0;16721.05;1.85;16727.24;1.89;16792.03;2.29
2022-12-19 23:00:00;16438.88;SOBE_2.0;16462.01;0.14;16580.23;0.86;16721.05;1.72;16727.24;1.75;16792.03;2.15;16785.78;2.11
2022-12-20 00:00:00;16462.01;SOBE_2.0;16580.23;0.72;16721.05;1.57;16727.24;1.61;16792.03;2.0;16785.78;1.97;16837.51;2.28
2023-01-11 17:00:00;17382.08;SOBE_2.0;17487.09;0.6;17550.29;0.97;17550.57;0.97;17558.6;1.02;17556.41;1.0;17943.26;3.23
2023-01-11 18:00:00;17487.09;SOBE_2.0;17550.29;0.36;17550.57;0.36;17558.6;0.41;17556.41;0.4;17943.26;2.61;18264.1;4.44
2023-01-11 19:00:00;17550.29;SOBE_2.0;17550.57;0.0;17558.6;0.05;17556.41;0.03;17943.26;2.24;18264.1;4.07;18221.51;3.82
2023-01-11 20:00:00;17550.57;SOBE_2.0;17558.6;0.05;17556.41;0.03;17943.26;2.24;18264.1;4.07;18221.51;3.82;18207.54;3.74
2023-01-11 21:00:00;17558.6;SOBE_2.0;17556.41;-0.01;17943.26;2.19;18264.1;4.02;18221.51;3.78;18207.54;3.7;18224.68;3.79
2023-01-11 22:00:00;17556.41;SOBE_2.0;17943.26;2.2;18264.1;4.03;18221.51;3.79;18207.54;3.71;18224.68;3.81;18215.66;3.76
2023-01-12 11:00:00;18200.8;SOBE_2.0;18268.94;0.37;18284.91;0.46;17998.56;-1.11;18086.62;-0.63;18134.55;-0.36;18837.06;3.5
2023-01-12 12:00:00;18268.94;SOBE_2.0;18284.91;0.09;17998.56;-1.48;18086.62;-1.0;18134.55;-0.74;18837.06;3.11;18796.93;2.89
